POKEMON,DEX,TYPE 1,TYPE 2,TIER,RARITY,SRL,TAG,ITEM,ABILITY,EV SPREAD,NATURE,IV SPREAD,MOVE 1,MOVE 2,MOVE 3,MOVE 4,GENERATED (D),GENERATED (N),GENERATED (R),PICKED (D),PICKED (N),BANNED
Wartortle,8,Water,,NFE,COMMON,9,,Eviolite,Rain Dish,168 HP / 168 Def / 172 SpD,Calm,0 Atk,Toxic,Protect,Scald,Seismic Toss,0,0,0,0,0,0
Blastoise,9,Water,,NU,COMMON,2,RAIN,Damp Rock,Rain Dish,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Rain Dance,Scald,Ice Beam,Rapid Spin,0,0,0,0,0,0
Blastoise,9,Water,,RU,RARE,9,,Blastoisinite,Torrent,252 HP / 252 SpA / 4 Spe,Modest,,Water Pulse,Aura Sphere,Aqua Jet,Ice Beam,0,0,0,0,0,0
Blastoise,9,Water,,NU,COMMON,2,,Leftovers,Torrent,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Refresh,Scald,Protect,Toxic,0,0,0,0,0,0
Blastoise,9,Water,,NU,COMMON,2,,Normalium Z,Rain Dish,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Celebrate,Hydro Pump,Ice Beam,Hidden Power [Electric],0,0,0,0,0,0
Blastoise,9,Water,,RU,RARE,9,,Blastoisinite,Rain Dish,168 HP / 172 SpA / 168 Spe,Modest,0 Atk,Rapid Spin,Scald,Dark Pulse,Ice Beam,0,0,0,0,0,0
Blastoise,9,Water,,NU,COMMON,2,,Choice Band,Torrent,252 HP / 252 Atk / 4 SpD,Adamant,,Aqua Jet,Earthquake,Ice Punch,Liquidation,0,0,0,0,0,0
Caterpie,10,Bug,,LC,NONE,-1,,Choice Scarf,Shield Dust,76 HP / 196 Atk / 236 Spe,Naive,,Bug Bite,Electroweb,Snore,Tackle,0,0,0,0,0,0
Metapod,11,Bug,,NFE,COMMON,10,,Choice Scarf,Shed Skin,252 Atk / 4 SpA / 252 Spe,Naive,,Bug Bite,Electroweb,Snore,Tackle,0,0,0,0,0,0
Butterfree,12,Bug,Flying,Untiered,COMMON,10,,Buginium Z,Tinted Lens,4 Def / 252 SpA / 252 Spe,Timid,0 Atk,Sleep Powder,Quiver Dance,Bug Buzz,Energy Ball,0,0,0,0,0,0
Butterfree,12,Bug,Flying,Untiered,COMMON,10,,Life Orb,Tinted Lens,4 Def / 252 SpA / 252 Spe,Timid,,Psychic,Sleep Powder,Quiver Dance,Bug Buzz,0,0,0,0,0,0
Butterfree,12,Bug,Flying,Untiered,COMMON,10,,Choice Scarf,Tinted Lens,4 Def / 252 SpA / 252 Spe,Timid,,Air Slash,Bug Buzz,U-turn,Energy Ball,0,0,0,0,0,0
Weedle,13,Bug,Poison,LC,NONE,-1,,Choice Scarf,Shield Dust,36 HP / 236 Atk / 196 Spe,Naive,,Bug Bite,Electroweb,Poison Sting,String Shot,0,0,0,0,0,0
Kakuna,14,Bug,Poison,NFE,COMMON,12,,Eviolite,Shed Skin,252 Atk / 4 SpA / 252 Spe,Jolly,,String Shot,Bug Bite,Electroweb,Poison Sting,0,0,0,0,0,0
Beedrill,15,Bug,Poison,Untiered,COMMON,12,BATON,Focus Sash,Swarm,252 Atk / 4 Def / 252 Spe,Jolly,,Poison Jab,Agility,Fell Stinger,Baton Pass,0,0,0,0,0,0
Beedrill,15,Bug,Poison,UU,RARE,3,,Beedrillite,Swarm,252 Atk / 4 Def / 252 Spe,Jolly,,Substitute,Poison Jab,Fell Stinger,Drill Run,0,0,0,0,0,0
Beedrill,15,Bug,Poison,UU,RARE,3,,Beedrillite,Swarm,252 Atk / 4 Def / 252 Spe,Jolly,,Poison Jab,X-Scissor,Swords Dance,Pursuit,0,0,0,0,0,0
Beedrill,15,Bug,Poison,Untiered,COMMON,12,,Focus Sash,Swarm,252 Atk / 4 SpA / 252 Spe,Jolly,,Toxic Spikes,Endeavor,X-Scissor,Knock Off,0,0,0,0,0,0
Beedrill,15,Bug,Poison,UU,RARE,3,,Beedrillite,Sniper,252 Atk / 4 Def / 252 Spe,Jolly,,X-Scissor,Drill Run,Poison Jab,Knock Off,0,0,0,0,0,0
Beedrill,15,Bug,Poison,UU,RARE,3,,Beedrillite,Sniper,252 Atk / 4 SpD / 252 Spe,Jolly,,Throat Chop,U-turn,Poison Jab,Drill Run,0,0,0,0,0,0
Pidgey,16,Normal,Flying,LC,NONE,-1,,Choice Scarf,Big Pecks,36 HP / 236 Atk / 228 Spe,Naive,,Brave Bird,Return,U-turn,Heat Wave,0,0,0,0,0,0
Pidgeotto,17,Normal,Flying,NFE,COMMON,4,,Eviolite,Big Pecks,252 Atk / 4 SpD / 252 Spe,Jolly,,Roost,Facade,Brave Bird,Defog,0,0,0,0,0,0
Pidgeot,18,Normal,Flying,Untiered,COMMON,4,,Leftovers,Big Pecks,252 Atk / 4 SpD / 252 Spe,Jolly,,Brave Bird,Defog,Facade,Roost,0,0,0,0,0,0
Pidgeot,18,Normal,Flying,Untiered,COMMON,4,,Choice Band,Keen Eye,252 Atk / 4 SpD / 252 Spe,Jolly,,Return,Quick Attack,U-turn,Brave Bird,0,0,0,0,0,0
Pidgeot,18,Normal,Flying,UU,RARE,11,,Pidgeotite,Keen Eye,4 Def / 252 SpA / 252 Spe,Modest,,Hurricane,Defog,Heat Wave,Quick Attack,0,0,0,0,0,0
Pidgeot,18,Normal,Flying,UU,RARE,11,,Pidgeotite,Tangled Feet,4 Def / 252 SpA / 252 Spe,Timid,,Hurricane,U-turn,Roost,Heat Wave,0,0,0,0,0,0
Pidgeot,18,Normal,Flying,UU,RARE,11,,Pidgeotite,Tangled Feet,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Work Up,Heat Wave,Hurricane,Roost,0,0,0,0,0,0
Pidgeot,18,Normal,Flying,Untiered,COMMON,4,,Leftovers,Big Pecks,168 HP / 168 Atk / 172 Def,Impish,,Return,Roost,Toxic,Brave Bird,0,0,0,0,0,0
Rattata,19,Normal,,LC,NONE,-1,,Life Orb,Hustle,228 Atk / 76 Def / 180 Spe,Jolly,,Double-Edge,Sucker Punch,Flame Wheel,U-turn,0,0,0,0,0,0
Rattata-Alola,19,Normal,Dark,LC,NONE,-1,,Life Orb,Hustle,228 Atk / 76 Def / 180 Spe,Jolly,,Double-Edge,Sucker Punch,U-turn,Pursuit,0,0,0,0,0,0
Raticate,20,Normal,,Untiered,COMMON,2,,Flame Orb,Guts,252 Atk / 4 Def / 252 Spe,Jolly,,U-turn,Facade,Sucker Punch,Swords Dance,0,0,0,0,0,0
Raticate,20,Normal,,Untiered,COMMON,2,,Life Orb,Hustle,252 Atk / 4 SpD / 252 Spe,Jolly,,Sucker Punch,U-turn,Return,Stomping Tantrum,0,0,0,0,0,0
Raticate,20,Normal,,Untiered,COMMON,2,,Flame Orb,Guts,252 Atk / 4 SpD / 252 Spe,Jolly,,Quick Attack,U-turn,Facade,Crunch,0,0,0,0,0,0
Raticate-Alola,20,Dark,Normal,PU,COMMON,10,,Life Orb,Hustle,252 Atk / 4 SpD / 252 Spe,Jolly,,Zen Headbutt,Sucker Punch,Swords Dance,Return,0,0,0,0,0,0
Raticate-Alola,20,Dark,Normal,PU,COMMON,10,,Leftovers,Thick Fat,252 HP / 4 Atk / 252 Spe,Jolly,,Super Fang,Taunt,Substitute,Knock Off,0,0,0,0,0,0
Raticate-Alola,20,Dark,Normal,PU,COMMON,10,,Darkinium Z,Hustle,252 Atk / 4 Def / 252 Spe,Jolly,,Swords Dance,Double-Edge,Sucker Punch,Crunch,0,0,0,0,0,0
Raticate-Alola,20,Dark,Normal,PU,COMMON,10,,Leftovers,Thick Fat,168 HP / 168 Atk / 172 SpD,Careful,,Bulk Up,Knock Off,Rest,Sleep Talk,0,0,0,0,0,0
Raticate-Alola,20,Dark,Normal,PU,COMMON,10,,Leftovers,Thick Fat,252 HP / 4 Atk / 252 SpD,Careful,,Protect,Toxic,Knock Off,U-turn,0,0,0,0,0,0
Raticate-Alola,20,Dark,Normal,PU,COMMON,10,,Choice Band,Hustle,252 Atk / 4 SpD / 252 Spe,Adamant,,Sucker Punch,U-turn,Switcheroo,Return,0,0,0,0,0,0
Spearow,21,Normal,Flying,LC,NONE,-1,,Life Orb,Sniper,196 Atk / 36 Def / 28 SpD / 196 Spe,Jolly,0 HP,Double-Edge,Drill Peck,Drill Run,U-turn,0,0,0,0,0,0
Fearow,22,Normal,Flying,Untiered,COMMON,11,,Flyinium Z,Sniper,252 Atk / 4 SpD / 252 Spe,Jolly,,Mirror Move,Double-Edge,Drill Peck,Drill Run,0,0,0,0,0,0
Fearow,22,Normal,Flying,Untiered,COMMON,11,,Choice Scarf,Keen Eye,252 Atk / 4 SpD / 252 Spe,Jolly,,U-turn,Drill Peck,Double-Edge,Drill Run,0,0,0,0,0,0
Fearow,22,Normal,Flying,Untiered,COMMON,11,,Choice Band,Sniper,252 Atk / 4 Def / 252 Spe,Jolly,,Double-Edge,Drill Peck,Drill Run,Pursuit,0,0,0,0,0,0
Ekans,23,Poison,,LC,NONE,-1,,Berry Juice,Intimidate,156 HP / 84 Def / 244 SpD,Careful,,Coil,Gunk Shot,Earthquake,Sucker Punch,0,0,0,0,0,0
Arbok,24,Poison,,Untiered,COMMON,10,,Waterium Z,Intimidate,252 Atk / 4 SpD / 252 Spe,Adamant,,Coil,Sucker Punch,Gunk Shot,Aqua Tail,0,0,0,0,0,0
Arbok,24,Poison,,Untiered,COMMON,10,,Choice Band,Shed Skin,252 Atk / 4 SpD / 252 Spe,Jolly,,Switcheroo,Gunk Shot,Sucker Punch,Aqua Tail,0,0,0,0,0,0
Arbok,24,Poison,,Untiered,COMMON,10,,Black Sludge,Intimidate,168 HP / 172 Atk / 168 Def,Adamant,,Earthquake,Sucker Punch,Toxic,Gunk Shot,0,0,0,0,0,0
Arbok,24,Poison,,Untiered,COMMON,10,,Black Sludge,Shed Skin,168 HP / 172 Atk / 168 Def,Adamant,,Coil,Rest,Earthquake,Gunk Shot,0,0,0,0,0,0
Arbok,24,Poison,,Untiered,COMMON,10,,Black Sludge,Intimidate,252 Atk / 4 SpD / 252 Spe,Adamant,,Glare,Gunk Shot,Coil,Sucker Punch,0,0,0,0,0,0
Arbok,24,Poison,,Untiered,COMMON,10,,Assault Vest,Intimidate,252 HP / 252 Atk / 4 SpD,Adamant,,Seed Bomb,Gunk Shot,Earthquake,Sucker Punch,0,0,0,0,0,0
Pikachu,25,Electric,,NFE,COMMON,13,,Light Ball,Static,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Thunderbolt,Hidden Power [Ice],Surf,Volt Switch,0,0,0,0,0,0
Pikachu,25,Electric,,NFE,COMMON,13,,Light Ball,Lightning Rod,252 SpA / 4 SpD / 252 Spe,Jolly,,Fake Out,Volt Tackle,Knock Off,Quick Attack,0,0,0,0,0,0
Pikachu,25,Electric,,NFE,COMMON,13,,Pikanium Z,Static,252 Atk / 4 SpD / 252 Spe,Jolly,,Volt Tackle,Extreme Speed,Volt Switch,Knock Off,0,0,0,0,0,0
Raichu,26,Electric,,Untiered,COMMON,13,,Electrium Z,Lightning Rod,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Nasty Plot,Thunderbolt,Grass Knot,Hidden Power [Ice],0,0,0,0,0,0
Raichu,26,Electric,,Untiered,COMMON,13,,Air Balloon,Lightning Rod,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Encore,Thunderbolt,Toxic,Hidden Power [Ice],0,0,0,0,0,0
Raichu,26,Electric,,Untiered,COMMON,13,,Electrium Z,Static,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Thunderbolt,Focus Blast,Hidden Power [Ice],Nasty Plot,0,0,0,0,0,0
Raichu,26,Electric,,Untiered,COMMON,13,,Choice Specs,Lightning Rod,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Hidden Power [Ice],Thunderbolt,Volt Switch,Grass Knot,0,0,0,0,0,0
Raichu,26,Electric,,Untiered,COMMON,13,,Air Balloon,Lightning Rod,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Encore,Nasty Plot,Thunderbolt,Hidden Power [Ice],0,0,0,0,0,0
Raichu,26,Electric,,Untiered,COMMON,13,,Life Orb,Static,252 Atk / 4 SpD / 252 Spe,Jolly,,Extreme Speed,Knock Off,Volt Tackle,Brick Break,0,0,0,0,0,0
Raichu-Alola,26,Electric,Psychic,PU,COMMON,0,,Psychium Z,Surge Surfer,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Psychic,Nasty Plot,Focus Blast,Thunderbolt,0,0,0,0,0,0
Raichu-Alola,26,Electric,Psychic,PU,COMMON,0,E-TERRAIN,Life Orb,Surge Surfer,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Nasty Plot,Psyshock,Electro Ball,Hidden Power [Ice],0,0,0,0,0,0
Raichu-Alola,26,Electric,Psychic,PU,COMMON,0,,Aloraichium Z,Surge Surfer,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Thunderbolt,Psychic,Surf,Volt Switch,0,0,0,0,0,0
Raichu-Alola,26,Electric,Psychic,PU,COMMON,0,,Leftovers,Surge Surfer,172 SpA / 168 SpD / 168 Spe,Modest,0 Atk,Calm Mind,Discharge,Wish,Psychic,0,0,0,0,0,0
Raichu-Alola,26,Electric,Psychic,PU,COMMON,0,,Choice Specs,Surge Surfer,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Volt Switch,Surf,Psychic,Thunderbolt,0,0,0,0,0,0
Raichu-Alola,26,Electric,Psychic,PU,COMMON,0,,Aloraichium Z,Surge Surfer,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Nasty Plot,Psyshock,Thunderbolt,Substitute,0,0,0,0,0,0
Sandshrew,27,Ground,,LC,NONE,-1,,Eviolite,Sand Rush,36 HP / 156 Atk / 76 Def / 36 SpD / 196 Spe,Adamant,,Rapid Spin,Stealth Rock,Earthquake,Knock Off,0,0,0,0,0,0
Sandshrew-Alola,27,Ice,Steel,LC,NONE,-1,HAIL,Life Orb,Slush Rush,36 HP / 236 Atk / 36 Def / 196 Spe,Adamant,,Icicle Spear,Iron Head,Earthquake,Swords Dance,0,0,0,0,0,0
Sandslash,28,Ground,,PU,COMMON,12,SAND,Groundium Z,Sand Rush,252 Atk / 4 SpD / 252 Spe,Adamant,,Earthquake,Stone Edge,Swords Dance,Poison Jab,0,0,0,0,0,0
Sandslash,28,Ground,,PU,COMMON,12,SAND,Smooth Rock,Sand Rush,252 Atk / 4 SpD / 252 Spe,Adamant,,Sandstorm,Earthquake,Stone Edge,Knock Off,0,0,0,0,0,0
Sandslash,28,Ground,,PU,COMMON,12,,Leftovers,Sand Rush,252 HP / 4 Atk / 252 Spe,Jolly,,Earthquake,Knock Off,Stealth Rock,Rapid Spin,0,0,0,0,0,0
Sandslash,28,Ground,,PU,COMMON,12,SAND,Life Orb,Sand Rush,252 Atk / 4 SpD / 252 Spe,Adamant,,Earthquake,Rock Slide,Swords Dance,Sandstorm,0,0,0,0,0,0
Sandslash,28,Ground,,PU,COMMON,12,,Leftovers,Sand Rush,168 HP / 168 Def / 172 SpD,Careful,,Rest,Earthquake,Toxic,Sleep Talk,0,0,0,0,0,0
Sandslash,28,Ground,,PU,COMMON,12,,Choice Band,Sand Rush,252 Atk / 4 SpD / 252 Spe,Adamant,,Stone Edge,Poison Jab,Knock Off,Earthquake,0,0,0,0,0,0
Sandslash-Alola,28,Ice,Steel,PU,COMMON,6,,Choice Band,Slush Rush,252 Atk / 4 SpD / 252 Spe,Adamant,,Aqua Tail,Earthquake,Icicle Crash,Iron Head,0,0,0,0,0,0
Sandslash-Alola,28,Ice,Steel,PU,COMMON,6,HAIL,Light Clay,Slush Rush,252 Atk / 4 Def / 252 Spe,Adamant,,Hail,Icicle Crash,Iron Head,Aurora Veil,0,0,0,0,0,0
Sandslash-Alola,28,Ice,Steel,PU,COMMON,6,,Waterium Z,Slush Rush,252 Atk / 4 SpD / 252 Spe,Jolly,,Iron Head,Swords Dance,Aqua Tail,Icicle Crash,0,0,0,0,0,0
Sandslash-Alola,28,Ice,Steel,PU,COMMON,6,,Life Orb,Slush Rush,252 HP / 252 Atk / 4 SpD,Adamant,,Earthquake,Icicle Crash,Iron Head,Knock Off,0,0,0,0,0,0
Sandslash-Alola,28,Ice,Steel,PU,COMMON,6,,Leftovers,Slush Rush,252 HP / 4 Atk / 252 Spe,Jolly,,Stealth Rock,Rapid Spin,Icicle Crash,Iron Head,0,0,0,0,0,0
Sandslash-Alola,28,Ice,Steel,PU,COMMON,6,,Leftovers,Slush Rush,252 HP / 4 Atk / 252 Def,Impish,,Rapid Spin,Super Fang,Toxic,Protect,0,0,0,0,0,0
Nidoran-F,29,Poison,,LC,NONE,-1,,Eviolite,Hustle,220 Atk / 100 Def / 188 Spe,Adamant,,Poison Jab,Toxic Spikes,Hone Claws,Sucker Punch,0,0,0,0,0,0
Nidorina,30,Poison,,NFE,COMMON,12,,Eviolite,Hustle,252 Atk / 4 SpD / 252 Spe,Jolly,,Poison Jab,Stomping Tantrum,Sucker Punch,Toxic Spikes,0,0,0,0,0,0
Nidoqueen,31,Poison,Ground,RU,RARE,12,,Life Orb,Sheer Force,252 Atk / 4 SpD / 252 Spe,Jolly,,Ice Punch,Earthquake,Poison Jab,Sucker Punch,0,0,0,0,0,0
Nidoqueen,31,Poison,Ground,RU,RARE,12,,Life Orb,Sheer Force,4 Def / 252 SpA / 252 Spe,Modest,0 Atk,Sludge Wave,Thunderbolt,Ice Beam,Earth Power,0,0,0,0,0,0
Nidoqueen,31,Poison,Ground,RU,RARE,12,,Life Orb,Sheer Force,252 HP / 4 SpA / 252 Spe,Timid,0 Atk,Stealth Rock,Roar,Ice Beam,Earth Power,0,0,0,0,0,0
Nidoqueen,31,Poison,Ground,RU,RARE,12,,Choice Scarf,Sheer Force,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Earth Power,Thunderbolt,Sludge Wave,Fire Blast,0,0,0,0,0,0
Nidoqueen,31,Poison,Ground,RU,RARE,12,,Life Orb,Sheer Force,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Toxic Spikes,Earth Power,Flamethrower,Taunt,0,0,0,0,0,0
Nidoqueen,31,Poison,Ground,RU,RARE,12,,Black Sludge,Sheer Force,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Toxic,Protect,Sludge Wave,Earth Power,0,0,0,0,0,0
Nidoran-M,32,Poison,,LC,NONE,-1,,Eviolite,Hustle,220 Atk / 36 Def / 36 SpD / 196 Spe,Adamant,,Poison Jab,Drill Run,Sucker Punch,Hone Claws,0,0,0,0,0,0
Nidorino,33,Poison,,NFE,COMMON,5,,Eviolite,Hustle,252 Atk / 4 SpD / 252 Spe,Jolly,,Poison Jab,Stomping Tantrum,Sucker Punch,Toxic Spikes,0,0,0,0,0,0
Nidoking,34,Poison,Ground,UU,RARE,5,,Life Orb,Sheer Force,252 Atk / 4 Def / 252 Spe,Adamant,,Ice Punch,Earthquake,Poison Jab,Sucker Punch,0,0,0,0,0,0
Nidoking,34,Poison,Ground,UU,RARE,5,,Life Orb,Sheer Force,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Earth Power,Ice Beam,Sludge Wave,Fire Blast,0,0,0,0,0,0
Nidoking,34,Poison,Ground,UU,RARE,5,,Life Orb,Sheer Force,4 Atk / 252 SpA / 252 Spe,Naive,,Superpower,Ice Beam,Earth Power,Sludge Wave,0,0,0,0,0,0
Nidoking,34,Poison,Ground,UU,RARE,5,,Choice Scarf,Sheer Force,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Earth Power,Fire Blast,Ice Beam,Thunderbolt,0,0,0,0,0,0
Nidoking,34,Poison,Ground,UU,RARE,5,,Leftovers,Sheer Force,168 HP / 172 Def / 168 SpA,Bold,0 Atk,Protect,Earth Power,Thunderbolt,Toxic,0,0,0,0,0,0
Nidoking,34,Poison,Ground,UU,RARE,5,,Life Orb,Sheer Force,4 Def / 252 SpA / 252 Spe,Timid,0 Atk,Taunt,Stealth Rock,Sludge Wave,Earth Power,0,0,0,0,0,0
Clefairy,35,Fairy,,NFE,COMMON,13,,Eviolite,Magic Guard,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Soft-Boiled,Moonblast,Protect,Toxic,0,0,0,0,0,0
Clefairy,35,Fairy,,NFE,COMMON,13,,Eviolite,Magic Guard,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Calm Mind,Soft-Boiled,Moonblast,Thunder Wave,0,0,0,0,0,0
Clefairy,35,Fairy,,NFE,COMMON,13,,Eviolite,Magic Guard,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Moonblast,Soft-Boiled,Stealth Rock,Heal Bell,0,0,0,0,0,0
Clefable,36,Fairy,,OU,ULTRA-RARE,13,,Leftovers,Magic Guard,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Calm Mind,Moonblast,Flamethrower,Soft-Boiled,0,0,0,0,0,0
Clefable,36,Fairy,,OU,ULTRA-RARE,13,UBER,Rocky Helmet,Unaware,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Moonblast,Thunder Wave,Soft-Boiled,Stealth Rock,0,0,0,0,0,0
Clefable,36,Fairy,,OU,ULTRA-RARE,13,SUN,Heat Rock,Unaware,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Toxic,Moonblast,Moonlight,Sunny Day,0,0,0,0,0,0
Clefable,36,Fairy,,OU,ULTRA-RARE,13,,Life Orb,Magic Guard,252 HP / 252 SpA / 4 Spe,Modest,0 Atk,Soft-Boiled,Moonblast,Fire Blast,Psyshock,0,0,0,0,0,0
Clefable,36,Fairy,,OU,ULTRA-RARE,13,RAIN,Damp Rock,Unaware,252 HP / 4 Def / 252 SpD,Calm,,Rain Dance,Knock Off,Toxic,Moonblast,0,0,0,0,0,0
Clefable,36,Fairy,,OU,ULTRA-RARE,13,,Choice Specs,Unaware,4 Def / 252 SpA / 252 Spe,Modest,0 Atk,Psychic,Fire Blast,Moonblast,Trick,0,0,0,0,0,0
