POKEMON,DEX,TYPE 1,TYPE 2,TIER,RARITY,TAG,ITEM,ABILITY,EV SPREAD,NATURE,IV SPREAD,MOVE 1,MOVE 2,MOVE 3,MOVE 4,STATUS,GENERATED (D),GENERATED (N),GENERATED (R),PICKED (D),PICKED (N),BANNED
Beedrill,15,Bug,Poison,Untiered,COMMON,BATON,Focus Sash,Swarm,252 Atk / 4 Def / 252 Spe,Jolly,,Poison Jab,Agility,Fell Stinger,Baton Pass,PASS,0,0,0,0,0,0
Beedrill,15,Bug,Poison,UU,RARE,,Beedrillite,Swarm,252 Atk / 4 Def / 252 Spe,Jolly,,Substitute,Poison Jab,Fell Stinger,Drill Run,PASS,0,0,0,0,0,0
Beedrill,15,Bug,Poison,UU,RARE,,Beedrillite,Swarm,252 Atk / 4 Def / 252 Spe,Jolly,,Poison Jab,X-Scissor,Swords Dance,Pursuit,PASS,0,0,0,0,0,0
Beedrill,15,Bug,Poison,Untiered,COMMON,,Focus Sash,Swarm,252 Atk / 4 SpA / 252 Spe,Jolly,,Toxic Spikes,Endeavor,X-Scissor,Knock Off,PASS,0,0,0,0,0,0
Beedrill,15,Bug,Poison,UU,RARE,,Beedrillite,Sniper,252 Atk / 4 Def / 252 Spe,Jolly,,X-Scissor,Drill Run,Poison Jab,Knock Off,PASS,0,0,0,0,0,0
Beedrill,15,Bug,Poison,UU,RARE,,Beedrillite,Sniper,252 Atk / 4 SpD / 252 Spe,Jolly,,Throat Chop,U-turn,Poison Jab,Drill Run,PASS,0,0,0,0,0,0
Pidgey,16,Normal,Flying,LC,NONE,,Choice Scarf,Big Pecks,36 HP / 236 Atk / 228 Spe,Naive,,Brave Bird,Return,U-turn,Heat Wave,PASS,0,0,0,0,0,0
Pidgeotto,17,Normal,Flying,NFE,NONE,,Eviolite,Big Pecks,252 Atk / 4 SpD / 252 Spe,Jolly,,Roost,Facade,Brave Bird,Defog,PASS,0,0,0,0,0,0
Pidgeot,18,Normal,Flying,Untiered,COMMON,,Leftovers,Big Pecks,252 Atk / 4 SpD / 252 Spe,Jolly,,Brave Bird,Defog,Facade,Roost,PASS,0,0,0,0,0,0
Pidgeot,18,Normal,Flying,Untiered,COMMON,,Choice Band,Keen Eye,252 Atk / 4 SpD / 252 Spe,Jolly,,Return,Quick Attack,U-turn,Brave Bird,PASS,0,0,0,0,0,0
Pidgeot,18,Normal,Flying,UU,RARE,,Pidgeotite,Keen Eye,4 Def / 252 SpA / 252 Spe,Modest,,Hurricane,Defog,Heat Wave,Quick Attack,PASS,0,0,0,0,0,0
Pidgeot,18,Normal,Flying,UU,RARE,,Pidgeotite,Tangled Feet,4 Def / 252 SpA / 252 Spe,Timid,,Hurricane,U-turn,Roost,Heat Wave,PASS,0,0,0,0,0,0
Pidgeot,18,Normal,Flying,UU,RARE,,Pidgeotite,Tangled Feet,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Work Up,Heat Wave,Hurricane,Roost,PASS,0,0,0,0,0,0
Pidgeot,18,Normal,Flying,Untiered,COMMON,,Leftovers,Big Pecks,168 HP / 168 Atk / 172 Def,Impish,,Return,Roost,Toxic,Brave Bird,PASS,0,0,0,0,0,0
Rattata,19,Normal,,LC,NONE,,Life Orb,Hustle,228 Atk / 76 Def / 180 Spe,Jolly,,Double-Edge,Sucker Punch,Flame Wheel,U-turn,PASS,0,0,0,0,0,0
Rattata-Alola,19,Normal,Dark,LC,NONE,,Life Orb,Hustle,228 Atk / 76 Def / 180 Spe,Jolly,,Double-Edge,Sucker Punch,U-turn,Pursuit,PASS,0,0,0,0,0,0
Raticate,20,Normal,,Untiered,COMMON,,Flame Orb,Guts,252 Atk / 4 Def / 252 Spe,Jolly,,U-turn,Facade,Sucker Punch,Swords Dance,PASS,0,0,0,0,0,0
Raticate,20,Normal,,Untiered,COMMON,,Life Orb,Hustle,252 Atk / 4 SpD / 252 Spe,Jolly,,Sucker Punch,U-turn,Return,Stomping Tantrum,PASS,0,0,0,0,0,0
Raticate,20,Normal,,Untiered,COMMON,,Flame Orb,Guts,252 Atk / 4 SpD / 252 Spe,Jolly,,Quick Attack,U-turn,Facade,Crunch,PASS,0,0,0,0,0,0
Raticate-Alola,20,Dark,Normal,PU,COMMON,,Life Orb,Hustle,252 Atk / 4 SpD / 252 Spe,Jolly,,Zen Headbutt,Sucker Punch,Swords Dance,Return,PASS,0,0,0,0,0,0
Raticate-Alola,20,Dark,Normal,PU,COMMON,,Leftovers,Thick Fat,252 HP / 4 Atk / 252 Spe,Jolly,,Super Fang,Taunt,Substitute,Knock Off,PASS,0,0,0,0,0,0
Raticate-Alola,20,Dark,Normal,PU,COMMON,,Darkinium Z,Hustle,252 Atk / 4 Def / 252 Spe,Jolly,,Swords Dance,Double-Edge,Sucker Punch,Crunch,PASS,0,0,0,0,0,0
Raticate-Alola,20,Dark,Normal,PU,COMMON,,Leftovers,Thick Fat,168 HP / 168 Atk / 172 SpD,Careful,,Bulk Up,Knock Off,Rest,Sleep Talk,PASS,0,0,0,0,0,0
Raticate-Alola,20,Dark,Normal,PU,COMMON,,Leftovers,Thick Fat,252 HP / 4 Atk / 252 SpD,Careful,,Protect,Toxic,Knock Off,U-turn,PASS,0,0,0,0,0,0
Raticate-Alola,20,Dark,Normal,PU,COMMON,,Choice Band,Hustle,252 Atk / 4 SpD / 252 Spe,Adamant,,Sucker Punch,U-turn,Switcheroo,Return,PASS,0,0,0,0,0,0
Spearow,21,Normal,Flying,LC,NONE,,Life Orb,Sniper,196 Atk / 36 Def / 28 SpD / 196 Spe,Jolly,0 HP,Double-Edge,Drill Peck,Drill Run,U-turn,PASS,0,0,0,0,0,0
Fearow,22,Normal,Flying,Untiered,COMMON,,Flyinium Z,Sniper,252 Atk / 4 SpD / 252 Spe,Jolly,,Mirror Move,Double-Edge,Drill Peck,Drill Run,PASS,0,0,0,0,0,0
Fearow,22,Normal,Flying,Untiered,COMMON,,Choice Scarf,Keen Eye,252 Atk / 4 SpD / 252 Spe,Jolly,,U-turn,Drill Peck,Double-Edge,Drill Run,PASS,0,0,0,0,0,0
Fearow,22,Normal,Flying,Untiered,COMMON,,Choice Band,Sniper,252 Atk / 4 Def / 252 Spe,Jolly,,Double-Edge,Drill Peck,Drill Run,Pursuit,PASS,0,0,0,0,0,0
Ekans,23,Poison,,LC,NONE,,Berry Juice,Intimidate,156 HP / 84 Def / 244 SpD,Careful,,Coil,Gunk Shot,Earthquake,Sucker Punch,PASS,0,0,0,0,0,0
Arbok,24,Poison,,Untiered,COMMON,,Waterium Z,Intimidate,252 Atk / 4 SpD / 252 Spe,Adamant,,Coil,Sucker Punch,Gunk Shot,Aqua Tail,PASS,0,0,0,0,0,0
Arbok,24,Poison,,Untiered,COMMON,,Choice Band,Shed Skin,252 Atk / 4 SpD / 252 Spe,Jolly,,Switcheroo,Gunk Shot,Sucker Punch,Aqua Tail,PASS,0,0,0,0,0,0
Arbok,24,Poison,,Untiered,COMMON,,Black Sludge,Intimidate,168 HP / 172 Atk / 168 Def,Adamant,,Earthquake,Sucker Punch,Toxic,Gunk Shot,PASS,0,0,0,0,0,0
Arbok,24,Poison,,Untiered,COMMON,,Black Sludge,Shed Skin,168 HP / 172 Atk / 168 Def,Adamant,,Coil,Rest,Earthquake,Gunk Shot,PASS,0,0,0,0,0,0
Arbok,24,Poison,,Untiered,COMMON,,Black Sludge,Intimidate,252 Atk / 4 SpD / 252 Spe,Adamant,,Glare,Gunk Shot,Coil,Sucker Punch,PASS,0,0,0,0,0,0
Arbok,24,Poison,,Untiered,COMMON,,Assault Vest,Intimidate,252 HP / 252 Atk / 4 SpD,Adamant,,Seed Bomb,Gunk Shot,Earthquake,Sucker Punch,PASS,0,0,0,0,0,0
Pikachu,25,Electric,,NFE,NONE,,Light Ball,Static,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Thunderbolt,Hidden Power [Ice],Surf,Volt Switch,PASS,0,0,0,0,0,0
Pikachu,25,Electric,,NFE,NONE,,Light Ball,Lightning Rod,252 SpA / 4 SpD / 252 Spe,Jolly,,Fake Out,Volt Tackle,Knock Off,Quick Attack,PASS,0,0,0,0,0,0
Pikachu,25,Electric,,NFE,NONE,,Pikanium Z,Static,252 Atk / 4 SpD / 252 Spe,Jolly,,Volt Tackle,Extreme Speed,Volt Switch,Knock Off,PASS,0,0,0,0,0,0
Raichu,26,Electric,,Untiered,COMMON,,Electrium Z,Lightning Rod,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Nasty Plot,Thunderbolt,Grass Knot,Hidden Power [Ice],PASS,0,0,0,0,0,0
Raichu,26,Electric,,Untiered,COMMON,,Air Balloon,Lightning Rod,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Encore,Thunderbolt,Toxic,Hidden Power [Ice],PASS,0,0,0,0,0,0
Raichu,26,Electric,,Untiered,COMMON,,Electrium Z,Static,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Thunderbolt,Focus Blast,Hidden Power [Ice],Nasty Plot,PASS,0,0,0,0,0,0
Raichu,26,Electric,,Untiered,COMMON,,Choice Specs,Lightning Rod,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Hidden Power [Ice],Thunderbolt,Volt Switch,Grass Knot,PASS,0,0,0,0,0,0
Raichu,26,Electric,,Untiered,COMMON,,Air Balloon,Lightning Rod,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Encore,Nasty Plot,Thunderbolt,Hidden Power [Ice],PASS,0,0,0,0,0,0
Raichu,26,Electric,,Untiered,COMMON,,Life Orb,Static,252 Atk / 4 SpD / 252 Spe,Jolly,,Extreme Speed,Knock Off,Volt Tackle,Brick Break,PASS,0,0,0,0,0,0
Raichu-Alola,26,Electric,Psychic,PU,COMMON,,Psychium Z,Surge Surfer,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Psychic,Nasty Plot,Focus Blast,Thunderbolt,PASS,0,0,0,0,0,0
Raichu-Alola,26,Electric,Psychic,PU,COMMON,E-TERRAIN,Life Orb,Surge Surfer,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Nasty Plot,Psyshock,Electro Ball,Hidden Power [Ice],PASS,0,0,0,0,0,0
Raichu-Alola,26,Electric,Psychic,PU,COMMON,,Aloraichium Z,Surge Surfer,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Thunderbolt,Psychic,Surf,Volt Switch,PASS,0,0,0,0,0,0
Raichu-Alola,26,Electric,Psychic,PU,COMMON,,Leftovers,Surge Surfer,172 SpA / 168 SpD / 168 Spe,Modest,0 Atk,Calm Mind,Discharge,Wish,Psychic,PASS,0,0,0,0,0,0
Raichu-Alola,26,Electric,Psychic,PU,COMMON,,Choice Specs,Surge Surfer,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Volt Switch,Surf,Psychic,Thunderbolt,PASS,0,0,0,0,0,0
Raichu-Alola,26,Electric,Psychic,PU,COMMON,,Aloraichium Z,Surge Surfer,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Nasty Plot,Psyshock,Thunderbolt,Substitute,PASS,0,0,0,0,0,0
Sandshrew,27,Ground,,LC,NONE,,Eviolite,Sand Rush,36 HP / 156 Atk / 76 Def / 36 SpD / 196 Spe,Adamant,,Rapid Spin,Stealth Rock,Earthquake,Knock Off,PASS,0,0,0,0,0,0
Sandshrew-Alola,27,Ice,Steel,LC,NONE,HAIL,Life Orb,Slush Rush,36 HP / 236 Atk / 36 Def / 196 Spe,Adamant,,Icicle Spear,Iron Head,Earthquake,Swords Dance,PASS,0,0,0,0,0,0
Sandslash,28,Ground,,PU,COMMON,SAND,Groundium Z,Sand Rush,252 Atk / 4 SpD / 252 Spe,Adamant,,Earthquake,Stone Edge,Swords Dance,Poison Jab,PASS,0,0,0,0,0,0
Sandslash,28,Ground,,PU,COMMON,SAND,Smooth Rock,Sand Rush,252 Atk / 4 SpD / 252 Spe,Adamant,,Sandstorm,Earthquake,Stone Edge,Knock Off,PASS,0,0,0,0,0,0
Sandslash,28,Ground,,PU,COMMON,,Leftovers,Sand Rush,252 HP / 4 Atk / 252 Spe,Jolly,,Earthquake,Knock Off,Stealth Rock,Rapid Spin,PASS,0,0,0,0,0,0
Sandslash,28,Ground,,PU,COMMON,SAND,Life Orb,Sand Rush,252 Atk / 4 SpD / 252 Spe,Adamant,,Earthquake,Rock Slide,Swords Dance,Sandstorm,PASS,0,0,0,0,0,0
Sandslash,28,Ground,,PU,COMMON,,Leftovers,Sand Rush,168 HP / 168 Def / 172 SpD,Careful,,Rest,Earthquake,Toxic,Sleep Talk,PASS,0,0,0,0,0,0
Sandslash,28,Ground,,PU,COMMON,,Choice Band,Sand Rush,252 Atk / 4 SpD / 252 Spe,Adamant,,Stone Edge,Poison Jab,Knock Off,Earthquake,PASS,0,0,0,0,0,0
Sandslash-Alola,28,Ice,Steel,PU,COMMON,,Choice Band,Slush Rush,252 Atk / 4 SpD / 252 Spe,Adamant,,Aqua Tail,Earthquake,Icicle Crash,Iron Head,PASS,0,0,0,0,0,0
Sandslash-Alola,28,Ice,Steel,PU,COMMON,HAIL,Light Clay,Slush Rush,252 Atk / 4 Def / 252 Spe,Adamant,,Hail,Icicle Crash,Iron Head,Aurora Veil,PASS,0,0,0,0,0,0
Sandslash-Alola,28,Ice,Steel,PU,COMMON,,Waterium Z,Slush Rush,252 Atk / 4 SpD / 252 Spe,Jolly,,Iron Head,Swords Dance,Aqua Tail,Icicle Crash,PASS,0,0,0,0,0,0
Sandslash-Alola,28,Ice,Steel,PU,COMMON,,Life Orb,Slush Rush,252 HP / 252 Atk / 4 SpD,Adamant,,Earthquake,Icicle Crash,Iron Head,Knock Off,PASS,0,0,0,0,0,0
Sandslash-Alola,28,Ice,Steel,PU,COMMON,,Leftovers,Slush Rush,252 HP / 4 Atk / 252 Spe,Jolly,,Stealth Rock,Rapid Spin,Icicle Crash,Iron Head,PASS,0,0,0,0,0,0
Sandslash-Alola,28,Ice,Steel,PU,COMMON,,Leftovers,Slush Rush,252 HP / 4 Atk / 252 Def,Impish,,Rapid Spin,Super Fang,Toxic,Protect,PASS,0,0,0,0,0,0
Nidoran-F,29,Poison,,LC,NONE,,Eviolite,Hustle,220 Atk / 100 Def / 188 Spe,Adamant,,Poison Jab,Toxic Spikes,Hone Claws,Sucker Punch,PASS,0,0,0,0,0,0
Nidorina,30,Poison,,NFE,NONE,,Eviolite,Hustle,252 Atk / 4 SpD / 252 Spe,Jolly,,Poison Jab,Stomping Tantrum,Sucker Punch,Toxic Spikes,PASS,0,0,0,0,0,0
Nidoqueen,31,Poison,Ground,RU,RARE,,Life Orb,Sheer Force,252 Atk / 4 SpD / 252 Spe,Jolly,,Ice Punch,Earthquake,Poison Jab,Sucker Punch,PASS,0,0,0,0,0,0
Nidoqueen,31,Poison,Ground,RU,RARE,,Life Orb,Sheer Force,4 Def / 252 SpA / 252 Spe,Modest,0 Atk,Sludge Wave,Thunderbolt,Ice Beam,Earth Power,PASS,0,0,0,0,0,0
Nidoqueen,31,Poison,Ground,RU,RARE,,Life Orb,Sheer Force,252 HP / 4 SpA / 252 Spe,Timid,0 Atk,Stealth Rock,Roar,Ice Beam,Earth Power,PASS,0,0,0,0,0,0
Nidoqueen,31,Poison,Ground,RU,RARE,,Choice Scarf,Sheer Force,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Earth Power,Thunderbolt,Sludge Wave,Fire Blast,PASS,0,0,0,0,0,0
Nidoqueen,31,Poison,Ground,RU,RARE,,Life Orb,Sheer Force,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Toxic Spikes,Earth Power,Flamethrower,Taunt,PASS,0,0,0,0,0,0
Nidoqueen,31,Poison,Ground,RU,RARE,,Black Sludge,Sheer Force,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Toxic,Protect,Sludge Wave,Earth Power,PASS,0,0,0,0,0,0
Nidoran,32,Poison,,LC,NONE,,Eviolite,Hustle,220 Atk / 36 Def / 36 SpD / 196 Spe,Adamant,,Poison Jab,Drill Run,Sucker Punch,Hone Claws,PASS,0,0,0,0,0,0
Nidorino,33,Poison,,NFE,NONE,,Eviolite,Hustle,252 Atk / 4 SpD / 252 Spe,Jolly,,Poison Jab,Stomping Tantrum,Sucker Punch,Toxic Spikes,PASS,0,0,0,0,0,0
Nidoking,34,Poison,Ground,UU,RARE,,Life Orb,Sheer Force,252 Atk / 4 Def / 252 Spe,Adamant,,Ice Punch,Earthquake,Poison Jab,Sucker Punch,PASS,0,0,0,0,0,0
Nidoking,34,Poison,Ground,UU,RARE,,Life Orb,Sheer Force,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Earth Power,Ice Beam,Sludge Wave,Fire Blast,PASS,0,0,0,0,0,0
Nidoking,34,Poison,Ground,UU,RARE,,Life Orb,Sheer Force,4 Atk / 252 SpA / 252 Spe,Naive,,Superpower,Ice Beam,Earth Power,Sludge Wave,PASS,0,0,0,0,0,0
Nidoking,34,Poison,Ground,UU,RARE,,Choice Scarf,Sheer Force,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Earth Power,Fire Blast,Ice Beam,Thunderbolt,PASS,0,0,0,0,0,0
Nidoking,34,Poison,Ground,UU,RARE,,Leftovers,Sheer Force,168 HP / 172 Def / 168 SpA,Bold,0 Atk,Protect,Earth Power,Thunderbolt,Toxic,PASS,0,0,0,0,0,0
Nidoking,34,Poison,Ground,UU,RARE,,Life Orb,Sheer Force,4 Def / 252 SpA / 252 Spe,Timid,0 Atk,Taunt,Stealth Rock,Sludge Wave,Earth Power,PASS,0,0,0,0,0,0
Clefairy,35,Fairy,,NFE,NONE,,Eviolite,Magic Guard,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Soft-Boiled,Moonblast,Protect,Toxic,PASS,0,0,0,0,0,0
Clefairy,35,Fairy,,NFE,NONE,,Eviolite,Magic Guard,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Calm Mind,Soft-Boiled,Moonblast,Thunder Wave,PASS,0,0,0,0,0,0
Clefairy,35,Fairy,,NFE,NONE,,Eviolite,Magic Guard,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Moonblast,Soft-Boiled,Stealth Rock,Heal Bell,PASS,0,0,0,0,0,0
Clefable,36,Fairy,,OU,ULTRA-RARE,,Leftovers,Magic Guard,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Calm Mind,Moonblast,Flamethrower,Soft-Boiled,PASS,0,0,0,0,0,0
Clefable,36,Fairy,,OU,ULTRA-RARE,,Rocky Helmet,Unaware,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Moonblast,Thunder Wave,Soft-Boiled,Stealth Rock,PASS,0,0,0,0,0,0
Clefable,36,Fairy,,OU,ULTRA-RARE,SUN,Heat Rock,Unaware,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Toxic,Moonblast,Moonlight,Sunny Day,PASS,0,0,0,0,0,0
Clefable,36,Fairy,,OU,ULTRA-RARE,,Life Orb,Magic Guard,252 HP / 252 SpA / 4 Spe,Modest,0 Atk,Soft-Boiled,Moonblast,Fire Blast,Psyshock,PASS,0,0,0,0,0,0
